SaleDate,SalesID,LineID,CatNum,ProductID,ProductPrice,Quantity,UnitOfMeasure,OnHandQuantity,NumOfSupplier,CustomerID,Country
20130801,ICG_131941,1,F,10064,15,100,PCS,0,,sj02,Singapore
20130801,ICG_131942,1,PPDR,30347,120,6,COIL,100,2,SS26,Singapore
20130801,ICG_131943,1,SPL2.5,45126,4.7,160,SPL,0,2,IT08,Indonesia
20130801,ICG_131943,2,SPL2.5,45125,4.7,160,SPL,0,2,IT08,Indonesia
20130801,ICG_131943,3,SPL2.5,43940,4.7,160,SPL,0,2,IT08,Indonesia
20130801,ICG_131943,4,SPL3,45132,4.7,120,SPL,0,2,IT08,Indonesia
20130801,ICG_131943,5,SPL3,45129,4.7,120,SPL,0,2,IT08,Indonesia
20130801,ICG_131943,6,SPL3,45130,4.7,120,SPL,0,2,IT08,Indonesia
20130801,ICG_131944,1,SPL2.5,45126,4.7,80,SPL,0,2,IL09,Indonesia
20130801,ICG_131944,2,SPL2.5,45125,4.7,80,SPL,0,2,IL09,Indonesia
20130801,ICG_131944,3,SPL2.5,43940,4.7,80,SPL,0,2,IL09,Indonesia
20130801,ICG_131944,4,SPL3,45132,4.7,120,SPL,0,2,IL09,Indonesia
20130801,ICG_131944,5,SPL3,45129,4.7,120,SPL,0,2,IL09,Indonesia
20130801,ICG_131944,6,SPL3,45130,4.7,120,SPL,0,2,IL09,Indonesia
20130801,ICG_131944,7,FL,45877,2.1,360,PCS,2000,1,IL09,Indonesia
20130801,ICG_131944,8,P9,10594,5.4,8,PCS,0,2,IL09,Indonesia
20130801,ICG_131945,1,PR05,10379,2.5,20,COIL,2000,1,IK11,Indonesia
20130801,ICG_131945,2,PPDR,41015,3.4,24,COIL,0,2,IK11,Indonesia
20130801,ICG_131945,3,AS,41203,280,1,PKT,30,1,IK11,Indonesia
20130801,ICG_131946,1,M035,42015,40,140,PCS,0,1,IY03,Indonesia
20130802,ICG_131947,1,PB,45994,6.4,100,PCS,0,1,IA14,Indonesia
20130802,ICG_131948,1,SPL2.5,45126,4.7,240,SPL,0,2,IG01,Indonesia
20130802,ICG_131948,2,SPL2.5,45125,4.7,160,SPL,0,2,IG01,Indonesia
20130802,ICG_131948,3,SPL3,45132,4.7,180,SPL,0,2,IG01,Indonesia
20130802,ICG_131948,4,SPL3,45129,4.7,120,SPL,0,2,IG01,Indonesia
20130802,ICG_131948,5,U.N,41637,4.9,450,SPL,0,1,IG01,Indonesia
20130802,ICG_131948,6,U.N,41636,4.9,300,SPL,0,,IG01,Indonesia
20130802,ICG_131948,7,M035,42015,39.5,100,PCS,0,1,IG01,Indonesia
20130802,ICG_131948,8,HL,42920,29,120,PCS,0,,IG01,Indonesia
20130803,ICG_131949,1,SN,41465,4.2,50,PCS,0,,SC01,Singapore
20130805,ICG_131954,1,X01,-1,0,0,PCS,0,,IA15,Indonesia
20130805,ICG_131954,2,X01,-1,3312,0,PCS,0,,IA15,Indonesia
20130805,ICG_131954,3,X01,-1,428.03,0,PCS,0,,IA15,Indonesia
20130805,ICG_131954,4,X01,-1,427.36,0,PCS,0,,IA15,Indonesia
20130806,ICG_131951,1,MLG,43001,4.12,25,BALE,0,1,IT22,Indonesia
20130806,ICG_131951,2,MLG,10043,4.12,25,BALE,0,1,IT22,Indonesia
20130806,ICG_131951,3,MLG,46364,4.12,25,BALE,0,1,IT22,Indonesia
20130806,ICG_131951,4,MLG,43637,4.12,25,BALE,0,1,IT22,Indonesia
20130806,ICG_131951,5,MLG,43638,4.12,25,BALE,0,1,IT22,Indonesia
20130806,ICG_131951,6,MLG,40058,4.33,25,BALE,0,1,IT22,Indonesia
20130806,ICG_131951,7,MLG,30155,4.33,25,BALE,0,1,IT22,Indonesia
20130806,ICG_131951,8,MLG,43639,4.33,13,BALE,0,1,IT22,Indonesia
20130806,ICG_131951,9,X01,-1,0,0,PCS,0,,IT22,Indonesia
20130806,ICG_131952,1,X01,-1,0,0,PCS,0,,IP06,Indonesia
20130806,ICG_131952,2,MLG,45020,23.45,90,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,3,MLG,45188,22.64,360,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,4,MLG,45752,21.83,180,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,5,MLG,30197,21.83,180,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,6,MLG,40660,21.83,120,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,7,MLG,43316,21.83,120,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,8,MLG,43314,21.36,300,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,9,MLG,45192,21.36,180,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,10,MLG,30197,21.83,30,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,11,MLG,45019,24.26,18,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,12,MLG,45757,25.16,96,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,13,MLG,45187,26.05,162,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,14,MLG,45757,25.16,60,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,15,MLG,45756,30.37,36,BAG,0,1,IP06,Indonesia
20130806,ICG_131952,16,X01,-1,335,0,PCS,0,,IP06,Indonesia
20130806,ICG_131953,1,PPDR,30347,120,10,COIL,100,2,SC06,Singapore
20130812,ICG_131955,1,X01,-1,0,0,PCS,0,,SS05,Singapore
20130812,ICG_131955,2,P15,45545,5,1,PCS,0,2,SS05,Singapore
20130812,ICG_131955,3,X01,-1,0,0,PCS,0,,SS05,Singapore
20130812,ICG_131955,4,P15,45545,5,17,PCS,0,2,SS05,Singapore
20130812,ICG_131957,1,X01,-1,0,0,PCS,0,,IA153,Not Available
20130812,ICG_131957,2,X01,-1,3756.02,0,PCS,0,,IA153,Not Available
20130812,ICG_131957,3,X01,-1,511.77,0,PCS,0,,IA153,Not Available
20130812,ICG_131957,4,X01,-1,1188.12,0,PCS,0,,IA153,Not Available
20130812,ICG_131957,5,X01,-1,1697.93,0,PCS,0,,IA153,Not Available
20130812,ICG_131958,1,X01,-1,0,0,PCS,0,,IA153,Not Available
20130812,ICG_131958,2,X01,-1,3417.25,0,PCS,0,,IA153,Not Available
20130812,ICG_131958,3,X01,-1,470.12,0,PCS,0,,IA153,Not Available
20130812,ICG_131958,4,X01,-1,1081.86,0,PCS,0,,IA153,Not Available
20130812,ICG_131958,5,X01,-1,1544.79,0,PCS,0,,IA153,Not Available
20130812,ICG_131964,1,X01,-1,0.05,10925.8,PCS,0,,MK061,Malaysia
20130813,ICG_131950,1,X01,-1,0,0,PCS,0,,SL14,Singapore
20130813,ICG_131950,2,PR04,30262,3.2,210,COIL,5000,1,SL14,Singapore
20130814,ICG_131956,1,X01,-1,0,0,PCS,0,,SC01,Singapore
20130814,ICG_131956,2,SN,41465,4.2,40,PCS,0,,SC01,Singapore
20130814,ICG_131959,1,X01,-1,0,0,PCS,0,,SS26,Singapore
20130814,ICG_131959,2,PPDR,30347,120,6,COIL,100,2,SS26,Singapore
20130814,ICG_131961,1,X01,-1,0,0,PCS,0,,IJ01,Indonesia
20130814,ICG_131961,2,M020P,45526,11,16,PCS,0,1,IJ01,Indonesia
20130814,ICG_131961,3,X01,-1,0,0,PCS,0,,IJ01,Indonesia
20130814,ICG_131961,4,M020P,45378,11,30,PCS,0,1,IJ01,Indonesia
20130814,ICG_131963,1,X01,-1,0,0,PCS,0,,IJ01,Indonesia
20130814,ICG_131963,2,M020P,45862,11,20,PCS,0,1,IJ01,Indonesia
20130814,ICG_131963,3,M020P,45378,11,20,PCS,0,1,IJ01,Indonesia
20130814,ICG_131963,4,X01,-1,0,0,PCS,0,,IJ01,Indonesia
20130814,ICG_131963,5,CNO,40191,2,500,PCS,0,1,IJ01,Indonesia
20130814,ICG_131963,6,PPDR,41653,3.3,248,COIL,250,2,IJ01,Indonesia
20130814,ICG_131963,7,M020P,46379,11,20,PCS,0,1,IJ01,Indonesia
20130814,ICG_131963,8,M020P,45767,11,5,PCS,0,1,IJ01,Indonesia
20130815,ICG_131965,1,SPL2.5,45126,4.7,160,SPL,0,2,IT24,Not Available
20130815,ICG_131965,2,SPL2.5,45125,4.7,160,SPL,0,2,IT24,Not Available
20130815,ICG_131965,3,U.N,46205,4.9,130,SPL,0,,IT24,Not Available
20130815,ICG_131965,4,U.N,41637,4.9,150,SPL,0,1,IT24,Not Available
20130815,ICG_131965,5,X01,-1,0,0,PCS,0,,IT24,Not Available
20130815,ICG_131966,1,PPMR,30337,4.6,3,COIL,0,2,IT26,Not Available
20130815,ICG_131966,2,PPMR,40049,4.6,4,COIL,0,2,IT26,Not Available
20130815,ICG_131966,3,PPMR,40050,4.6,2,COIL,0,2,IT26,Not Available
20130815,ICG_131966,4,PPMR,44409,4.6,1,COIL,0,2,IT26,Not Available
20130815,ICG_131966,5,PR06,43839,2.5,24,COIL,1000,1,IT26,Not Available
20130815,ICG_131966,6,PR08,10401,2.5,16,COIL,1000,1,IT26,Not Available
20130815,ICG_131966,7,PR10,43838,2.5,12,COIL,600,1,IT26,Not Available
20130815,ICG_131966,8,SPL3.5,45154,4.7,60,SPL,0,2,IT26,Not Available
20130815,ICG_131966,9,SPL3.5,45152,4.7,60,SPL,0,2,IT26,Not Available
20130815,ICG_131966,10,P9,10598,5.4,4,PCS,0,2,IT26,Not Available
20130815,ICG_131966,11,P9,10594,5.4,4,PCS,0,2,IT26,Not Available
20130815,ICG_131966,12,X01,-1,0,0,PCS,0,,IT26,Not Available
20130816,ICG_131960,1,X01,-1,0,0,PCS,0,,IT22,Indonesia
20130816,ICG_131960,2,SPT,30330,3.35,1033,SPL,0,3,IT22,Indonesia
20130816,ICG_131960,3,SPT,42470,3.05,989,PKT,0,2,IT22,Indonesia
20130816,ICG_131960,4,SPT,42471,3.05,500,PKT,0,2,IT22,Indonesia
20130816,ICG_131960,5,SPT,43218,2.98,300,PKT,0,2,IT22,Indonesia
20130816,ICG_131962,1,X01,-1,0,0,PCS,0,,IP06,Indonesia
20130816,ICG_131962,2,PETS,40457,3.62,5000,SPL,0,2,IP06,Indonesia
20130816,ICG_131962,3,PRSIMR,10571,3.36,5000,SPL,0,3,IP06,Indonesia
20130816,ICG_131962,4,PRSIMR,10572,3.36,5000,SPL,0,2,IP06,Indonesia
20130816,ICG_131962,5,PRSIMR,10242,3.27,5000,SPL,0,2,IP06,Indonesia
20130816,ICG_131962,6,PRSIMR,40101,3.62,4750,SPL,0,3,IP06,Indonesia
20130816,ICG_131967,1,WN,45838,65.8,24,PCS,0,2,IJ01,Indonesia
20130816,ICG_131967,2,WN,45506,101.9,26,PCS,0,1,IJ01,Indonesia
20130816,ICG_131967,3,WN,44776,67.9,41,PCS,0,2,IJ01,Indonesia
20130816,ICG_131967,4,PPDR,10458,3.3,10,COIL,75,2,IJ01,Indonesia
20130816,ICG_131967,5,PPDR,40726,3.3,36,COIL,700,2,IJ01,Indonesia
20130816,ICG_131967,6,CT,43203,10,30,PKT,0,,IJ01,Indonesia
20130816,ICG_131967,7,X01,-1,0,0,PCS,0,,IJ01,Indonesia
20130816,ICG_131968,1,X01,-1,0,0,PCS,0,,IO01,Indonesia
20130816,ICG_131968,2,LL,46162,24.5,1056,PCS,0,1,IO01,Indonesia
20130816,ICG_131968,3,LL,46164,35,168,PCS,0,1,IO01,Indonesia
20130816,ICG_131969,1,X01,-1,0,0,PCS,0,,SS26,Singapore
20130816,ICG_131969,2,SN,44169,18,20,PCS,0,1,SS26,Singapore
20130816,ICG_131970,1,PR05,10379,3.2,10,COIL,2000,1,SC05,Singapore
20130816,ICG_131970,2,PR06,43839,3.2,24,COIL,1000,1,SC05,Singapore
20130816,ICG_131970,3,PR07,10394,3.2,10,COIL,1200,1,SC05,Singapore
20130816,ICG_131970,4,PR08,10401,3.2,10,COIL,1000,1,SC05,Singapore
20130819,ICG_131971,1,M020P,45767,11,10,PCS,0,1,IJ01,Indonesia
20130819,ICG_131971,2,CL,30273,103,20,PKT,0,2,IJ01,Indonesia
20130819,ICG_131971,3,WN,44005,34.9,50,PCS,0,1,IJ01,Indonesia
20130819,ICG_131971,4,WN,41417,26.9,100,PCS,0,2,IJ01,Indonesia
20130819,ICG_131971,5,PPMR,45071,4.35,20,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,6,PPMR,44898,4.35,25,COIL,2,2,IJ01,Indonesia
20130819,ICG_131971,7,PPMR,40282,4.35,12,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,8,PPMR,30337,4.35,9,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,9,PPMR,40049,4.35,6,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,10,PPMR,40050,4.35,6,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,11,PPMR,40051,4.35,5,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,12,PPMR,44409,4.35,2,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,13,PPMR,44017,4.35,2,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,14,PPMR,30339,4.35,2,COIL,0,2,IJ01,Indonesia
20130819,ICG_131971,15,X01,-1,0,0,PCS,0,,IJ01,Indonesia
20130819,ICG_131972,1,WN,44776,67.9,125,PCS,0,2,IJ01,Indonesia
20130819,ICG_131972,2,WN,45506,101.9,124,PCS,0,1,IJ01,Indonesia
20130819,ICG_131972,3,X01,-1,0,0,PCS,0,,IJ01,Indonesia
20130820,ICG_131973,1,X01,-1,0,0,PCS,0,,SC01,Singapore
20130820,ICG_131973,2,SN,40356,4.4,50,PCS,0,1,SC01,Singapore
20130820,ICG_131974,1,X01,-1,0,0,PCS,0,,SC01,Singapore
20130820,ICG_131974,2,SN,41465,4.2,50,PCS,0,,SC01,Singapore
20130820,ICG_131975,1,X01,-1,0,0,PCS,0,,SC01,Singapore
20130820,ICG_131975,2,SN,41465,4.2,180,PCS,0,,SC01,Singapore
20130821,ICG_131976,1,P9,10598,4.95,20,PCS,0,2,IS06,Indonesia
20130821,ICG_131976,2,P9,10594,4.95,20,PCS,0,2,IS06,Indonesia
20130821,ICG_131976,3,P12,10235,4.95,10,PCS,0,2,IS06,Indonesia
20130821,ICG_131976,4,P12,10228,4.95,10,PCS,0,2,IS06,Indonesia
20130821,ICG_131976,5,PET1,40153,4.35,500,PKT,1485,1,IS06,Indonesia
20130821,ICG_131976,6,X01,-1,0,0,PCS,0,,IS06,Indonesia
20130821,ICG_131977,1,AS,41207,210,1,PKT,80,1,IT07,Indonesia
20130821,ICG_131977,2,AS,41208,210,3,PKT,20,1,IT07,Indonesia
20130821,ICG_131977,3,NEE,43519,0.52,1000,PCS,0,1,IT07,Indonesia
20130821,ICG_131977,4,NEE,43520,0.38,1000,PCS,0,1,IT07,Indonesia
20130821,ICG_131977,5,NEE,43515,0.25,2000,PCS,0,1,IT07,Indonesia
20130821,ICG_131977,6,NEE,43517,0.17,5000,PCS,0,1,IT07,Indonesia
20130821,ICG_131977,7,NEE,43518,0.17,5000,PCS,0,1,IT07,Indonesia
20130821,ICG_131977,8,NEE,44490,0.12,10000,PCS,0,1,IT07,Indonesia
20130821,ICG_131977,9,NEE,43516,0.17,2000,PCS,0,1,IT07,Indonesia
20130821,ICG_131977,10,NEE,45489,0.12,5000,PCS,0,1,IT07,Indonesia
20130821,ICG_131977,11,NEE,45488,0.12,10000,PCS,0,1,IT07,Indonesia
20130821,ICG_131978,1,X01,-1,0.05,10038.8,PCS,0,,MK061,Malaysia
20130821,ICG_131979,1,BN,10005,26,4,BOX,200,1,MC06,Brunei
20130821,ICG_131979,2,BN,10006,26,7,BOX,0,2,MC06,Brunei
20130821,ICG_131979,3,BN,10008,26,8,BOX,500,2,MC06,Brunei
20130821,ICG_131979,4,BN,10009,26,25,BOX,700,2,MC06,Brunei
20130821,ICG_131979,5,BN,10011,26,5,BOX,500,2,MC06,Brunei
20130821,ICG_131979,6,PPDR,40861,4.2,18,COIL,200,2,MC06,Brunei
20130821,ICG_131979,7,X01,-1,0,0,PCS,0,,MC06,Brunei
20130821,ICG_131980,1,PPDR,40726,3.4,108,COIL,700,2,IT04,Indonesia
20130821,ICG_131980,2,PPDR,40727,3.4,60,COIL,500,2,IT04,Indonesia
20130821,ICG_131980,3,PPDR,41015,3.4,80,COIL,0,2,IT04,Indonesia
20130821,ICG_131980,4,PPDR,40737,3.4,80,COIL,300,2,IT04,Indonesia
20130821,ICG_131980,5,PPDR,30053,3.4,28,COIL,200,2,IT04,Indonesia
20130821,ICG_131980,6,PPDR,40728,3.4,40,COIL,150,2,IT04,Indonesia
20130821,ICG_131980,7,PPDR,10458,3.4,20,COIL,75,2,IT04,Indonesia
20130821,ICG_131980,8,PPDR,30347,3.4,8,COIL,100,2,IT04,Indonesia
20130821,ICG_131980,9,FL,44884,2.1,200,PCS,500,1,IT04,Indonesia
20130821,ICG_131980,10,FL,44885,2.1,100,PCS,500,1,IT04,Indonesia
20130821,ICG_131980,11,FL,46176,2.1,100,PCS,300,1,IT04,Indonesia
20130821,ICG_131980,12,FL,44886,2.1,100,PCS,500,1,IT04,Indonesia
20130821,ICG_131980,13,FL,44886,2.1,100,PCS,500,1,IT04,Indonesia
20130821,ICG_131980,14,FL,44954,2.1,100,PCS,200,1,IT04,Indonesia
20130821,ICG_131980,15,FL,44955,2.1,100,PCS,300,1,IT04,Indonesia
20130821,ICG_131980,16,FL,44956,2.1,100,PCS,300,1,IT04,Indonesia
20130821,ICG_131980,17,FL,44953,2.1,100,PCS,500,1,IT04,Indonesia
20130821,ICG_131980,18,FL,44956,2.1,100,PCS,300,1,IT04,Indonesia
20130821,ICG_131981,1,SPL2.5,45126,4.7,400,SPL,0,2,IT04,Indonesia
20130821,ICG_131981,2,SPL2.5,43940,4.7,400,SPL,0,2,IT04,Indonesia
20130821,ICG_131981,3,SPL2.5,45125,4.7,240,SPL,0,2,IT04,Indonesia
20130821,ICG_131981,4,SPL3,45130,4.7,300,SPL,0,2,IT04,Indonesia
20130821,ICG_131981,5,SPL3,45132,4.7,180,SPL,0,2,IT04,Indonesia
20130821,ICG_131981,6,SPL3,45129,4.7,120,SPL,0,2,IT04,Indonesia
20130821,ICG_131981,7,WP,40412,27,48,PCS,200,1,IT04,Indonesia
20130821,ICG_131981,8,M028,46010,9.2,760,PCS,0,1,IT04,Indonesia
20130821,ICG_131981,9,M028,43278,9,400,PCS,2000,2,IT04,Indonesia
20130821,ICG_131981,10,M018,46373,8,515,PCS,0,1,IT04,Indonesia
20130821,ICG_131981,11,M033,46215,9.1,255,PCS,0,2,IT04,Indonesia
20130821,ICG_131981,12,M028,41909,8.4,1000,PCS,2000,2,IT04,Indonesia
20130821,ICG_131981,13,PB,45243,5.2,100,PCS,0,1,IT04,Indonesia
20130821,ICG_131981,14,PB,41963,5.2,8,PCS,0,,IT04,Indonesia
20130821,ICG_131981,15,P9,10598,5.4,8,PCS,0,2,IT04,Indonesia
20130821,ICG_131981,16,P9,10594,5.4,20,PCS,0,2,IT04,Indonesia
20130821,ICG_131981,17,P12,10235,5.4,4,PCS,0,2,IT04,Indonesia
20130821,ICG_131981,18,P12,10228,5.2,4,PCS,0,2,IT04,Indonesia
20130821,ICG_131981,19,X01,-1,0,0,PCS,0,,IT04,Indonesia
20130821,ICG_131982,1,P15,40312,5,2,PCS,0,1,IT04,Indonesia
20130821,ICG_131982,2,P15,10520,5,6,PCS,0,1,IT04,Indonesia
20130821,ICG_131982,3,P21,43844,5,4,PCS,0,,IT04,Indonesia
20130821,ICG_131982,4,P21,45951,5,6,PCS,0,,IT04,Indonesia
20130821,ICG_131982,5,AS,41208,280,2,PKT,20,1,IT04,Indonesia
20130821,ICG_131982,6,AST,41536,110,1,PKT,100,1,IT04,Indonesia
20130821,ICG_131982,7,SDSK,30385,1.8,20,PCS,0,1,IT04,Indonesia
20130821,ICG_131982,8,SDSK,30386,2.5,20,PCS,0,1,IT04,Indonesia
20130821,ICG_131982,9,SDSK,30387,4,6,PCS,0,1,IT04,Indonesia
20130821,ICG_131982,10,PET1,40152,4.8,500,PKT,1200,1,IT04,Indonesia
20130821,ICG_131982,11,PET1,40153,4.8,125,PKT,1485,1,IT04,Indonesia
20130821,ICG_131982,12,PN,40176,5.5,24,PCS,120,1,IT04,Indonesia
20130821,ICG_131982,13,M028,45645,6,198,PCS,0,2,IT04,Indonesia
20130822,ICG_131983,1,PPDR,40728,3.4,12,COIL,150,2,IS05,Indonesia
20130822,ICG_131984,1,WP,40412,27,24,PCS,200,1,IK06,Indonesia
20130822,ICG_131984,2,MLS,45852,1.2,240,SPL,0,1,IK06,Indonesia
20130822,ICG_131985,1,M429,44060,27,500,PCS,0,2,IK11,Indonesia
20130822,ICG_131985,2,PB,45994,6.5,32,PCS,0,1,IK11,Indonesia
20130822,ICG_131985,3,PPDRW,41968,4,2,COIL,0,1,IK11,Indonesia
20130822,ICG_131986,1,AAN,46382,39,35,PCS,0,3,IA14,Indonesia
20130822,ICG_131986,2,LL,45896,330,2,PCS,0,1,IA14,Indonesia
20130822,ICG_131987,1,ML,10128,300,30,PKT,100,1,IN04,Not Available
20130822,ICG_131987,2,ML,10128,0,3,PKT,100,1,IN04,Not Available
20130822,ICG_131987,3,ML,43513,6.5,5,BALE,80,2,IN04,Not Available
20130822,ICG_131987,4,CS,10058,4.6,400,GRS,2,3,IN04,Not Available
20130822,ICG_131987,5,BW,40793,31.5,5,SET,0,1,IN04,Not Available
20130822,ICG_131987,6,BW,10004,11,10,PCS,0,1,IN04,Not Available
20130822,ICG_131988,1,PPDRW,41967,4,2,COIL,0,1,IY03,Indonesia
20130822,ICG_131988,2,PPDR,30054,3.4,2,COIL,40,2,IY03,Indonesia
20130822,ICG_131988,3,U.N,46205,4.9,130,SPL,0,,IY03,Indonesia
20130822,ICG_131988,4,SPL,46201,4.9,160,SPL,0,1,IY03,Indonesia
20130822,ICG_131988,5,U.N,41637,4.9,150,SPL,0,1,IY03,Indonesia
20130822,ICG_131988,6,U.N,41636,4.9,150,SPL,0,,IY03,Indonesia
20130822,ICG_131988,7,M033,43290,13,120,PCS,300,2,IY03,Indonesia
20130822,ICG_131989,1,M028,45642,9.5,254,PCS,0,2,IT08,Indonesia
20130822,ICG_131989,2,F,40265,0.06,7200,PCS,0,1,IT08,Indonesia
20130822,ICG_131989,3,PET1,40159,4.6,250,PKT,250,1,IT08,Indonesia
20130822,ICG_131990,1,M028,41571,8.5,500,PCS,0,1,IL09,Indonesia
20130822,ICG_131990,2,M028,45642,9,300,PCS,0,2,IL09,Indonesia
20130822,ICG_131990,3,PPDR,40737,3.4,16,COIL,300,2,IL09,Indonesia
20130822,ICG_131990,4,F,40265,0.06,7200,PCS,0,1,IL09,Indonesia
20130822,ICG_131990,5,SDSK,40487,1,1000,PCS,0,1,IL09,Indonesia
20130822,ICG_131990,6,M028,43356,9.5,120,PCS,0,1,IL09,Indonesia
20130822,ICG_131990,7,M023,45571,10.7,50,PCS,200,2,IL09,Indonesia
20130822,ICG_131990,8,P6,45533,4.8,16,PCS,0,1,IL09,Indonesia
20130822,ICG_131990,9,P6,45534,4.8,20,PCS,0,2,IL09,Indonesia
20130822,ICG_131990,10,M028,41909,8.5,250,PCS,2000,2,IL09,Indonesia
20130822,ICG_131990,11,BN,10005,24.5,10,BOX,200,1,IL09,Indonesia
20130822,ICG_131990,12,BN,10006,24.5,10,BOX,0,2,IL09,Indonesia
20130822,ICG_131990,13,BN,10008,24.5,10,BOX,500,2,IL09,Indonesia
20130822,ICG_131990,14,BN,10009,24.5,10,BOX,700,2,IL09,Indonesia
20130822,ICG_131990,15,BN,10011,24.5,10,BOX,500,2,IL09,Indonesia
20130823,ICG_131991,1,SN,40356,4.8,140,PCS,0,1,SS01,Not Available
20130823,ICG_131992,1,SN,44169,18,15,PCS,0,1,SS26,Singapore
20130823,ICG_131993,1,PPMR,45071,5.5,8,COIL,0,2,SC05,Singapore
20130823,ICG_131993,2,PPMR,44898,5.5,2,COIL,2,2,SC05,Singapore
20130823,ICG_131993,3,PPMR,40282,5.5,2,COIL,0,2,SC05,Singapore
20130823,ICG_131993,4,PPMR,30337,5.5,2,COIL,0,2,SC05,Singapore
20130823,ICG_131994,1,MH,10126,4.05,5000,MIL,0,2,IB03,Not Available
20130823,ICG_131994,2,AAN,46004,0,1,PCS,0,,IB03,Not Available
20130823,ICG_131994,3,X01,-1,0,0,PCS,0,,IB03,Not Available
20130823,ICG_131995,1,ML,43513,6.5,10,BALE,80,2,IA07,Indonesia
20130823,ICG_131995,2,BW,40793,31.5,20,SET,0,1,IA07,Indonesia
20130823,ICG_131995,3,BW,44286,8,50,PCS,300,1,IA07,Indonesia
20130823,ICG_131995,4,BW,10031,20,50,SET,300,1,IA07,Indonesia
20130823,ICG_131995,5,ML,10128,300,20,PKT,100,1,IA07,Indonesia
20130823,ICG_131995,6,PR05,30193,4.7,100,COIL,0,2,IA07,Indonesia
20130823,ICG_131995,7,MH,10126,4.05,5000,MIL,0,2,IA07,Indonesia
20130823,ICG_131995,8,AAN,46004,0,1,PCS,0,,IA07,Indonesia
20130823,ICG_131995,9,X01,-1,0,0,PCS,0,,IA07,Indonesia
20130823,ICG_131996,1,M028,45644,8,202,PCS,0,2,IG01,Indonesia
20130823,ICG_131996,2,M028,45642,8.5,250,PCS,0,2,IG01,Indonesia
20130823,ICG_131996,3,M014,45776,3.2,686,PCS,0,1,IG01,Indonesia
20130823,ICG_131996,4,M028,45647,9.8,103,PCS,0,2,IG01,Indonesia
20130823,ICG_131996,5,M023,43187,8.1,204,PCS,0,2,IG01,Indonesia
20130823,ICG_131996,6,M018,45637,4.6,204,PCS,0,2,IG01,Indonesia
20130823,ICG_131996,7,M033,45635,11.3,100,PCS,0,2,IG01,Indonesia
20130823,ICG_131996,8,M023,43173,8.5,200,PCS,0,2,IG01,Indonesia
20130823,ICG_131996,9,M023,45569,8.1,299,PCS,0,2,IG01,Indonesia
20130823,ICG_131997,1,PPDR,30347,120,2,COIL,100,2,SC06,Singapore
20130826,ICG_131998,1,PETB,46365,4.8,5,BALE,0,1,IA14,Indonesia
20130826,ICG_131998,2,PETB,10644,4.8,36,BALE,20,1,IA14,Indonesia
20130826,ICG_131999,1,ML,10128,300,30,PKT,100,1,IY03,Indonesia
20130826,ICG_131999,2,AST,41531,110,1,PKT,100,1,IY03,Indonesia
20130826,ICG_131999,3,AS,41202,280,1,PKT,20,1,IY03,Indonesia
20130826,ICG_131999,4,PR06,44489,4.7,20,COIL,0,2,IY03,Indonesia
20130826,ICG_132000,1,ML,43513,6.5,8,BALE,80,2,IN04,Not Available
20130826,ICG_132000,2,MH,10126,4.1,1000,MIL,0,2,IN04,Not Available
20130826,ICG_132001,1,MH,10126,4.05,5000,MIL,0,2,IA091,Indonesia
20130826,ICG_132001,2,AAN,46004,0,1,PCS,0,,IA091,Indonesia
20130826,ICG_132002,1,PR04,30262,2.5,180,COIL,5000,1,IT08,Indonesia
20130826,ICG_132003,1,P6,45534,4.8,24,PCS,0,2,IL09,Indonesia
20130826,ICG_132003,2,M080,44777,46,32,PCS,0,1,IL09,Indonesia
20130826,ICG_132003,3,NEE,43517,0.32,200,PCS,0,1,IL09,Indonesia
20130826,ICG_132003,4,NEE,43518,0.32,200,PCS,0,1,IL09,Indonesia
20130826,ICG_132003,5,NEE,43518,0.3,200,PCS,0,1,IL09,Indonesia
20130826,ICG_132004,1,AAN,46382,40,50,PCS,0,3,IT12,Indonesia
20130826,ICG_132004,2,AAN,46391,39.58,50,DOZ,0,1,IT12,Indonesia
20130826,ICG_132004,3,AAN,46392,39.58,50,DOZ,0,1,IT12,Indonesia
20130827,ICG_132005,1,ML,43513,6.5,8,BALE,80,2,IA07,Indonesia
